alcatel,Fierce XL,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Class 33,Class 33,"2015, October","Available. Released 2015, November",151.9 x 77.8 x 9.5 mm (5.98 x 3.06 x 0.37 in),173 g (6.10 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,White,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 5.1.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,"16 GB, 2 GB RAM","8 MP, AF",720p@30fps,About 130 EUR,LED flash,,"LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700)",,Asahi Dragontrail Glass,,,,,,,,,,,,,,,2 MP,,,,,,,,,,,Non-removable Li-Ion 2500 mAh battery,,,,,,,,,Up to 12 h (3G),Up to 360 h (3G)
alcatel,Watch,No cellular connectivity,N/A,No,No,"2015, September","Available. Released 2015, September",41.8 x 41.8 x 10.5 mm (1.65 x 1.65 x 0.41 in),-,No,"IPS LCD capacitive touchscreen, 256K colors","1.22 inches, 4.7 cm (~27.1% screen-to-body ratio)",240 x 204 pixels (~258 ppi density),,No,,,Yes,,No,No,"4.0, LE",No,No,USB 2.0 (charging only),"Accelerometer, altimeter, gyro, heart rate, compass",,,,,,,MP3 player  Photo viewer  Voice memo/dial/commands,"White, Black/Red",,,Proprietary OS,STM 429,184 MHz,,8 MB RAM,,,About 110 EUR,,IP67 dust/water resistant (up to 1m for 30 mins)  Charger built-in the strap,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Non-removable Li-Ion 210 mAh battery,,,,,,No,,,,Up to 120 h (mixed usage)
alcatel,GO Watch,No cellular connectivity,N/A,No,No,"2015, September","Available. Released 2015, September",50.5 x 50.5 x 13 mm (1.99 x 1.99 x 0.51 in),-,No,"Capacitive touchscreen, 256K colors","1.22 inches, 4.7 cm (~18.6% screen-to-body ratio)",240 x 204 pixels (~258 ppi density),,No,,,Yes,,No,No,"4.0, LE",No,No,microUSB,"Accelerometer, altimeter, gyro, heart rate, compass",,,,,,,MP3 player  Photo viewer  Voice memo/dial/commands,"White, White/Pink Red, White/Blue Dark, White/Orange, White/Blue, White/Lime Green&Blue",,,Proprietary OS,STM 429,184 MHz,,8 MB RAM,,,,,IP67 dust/water resistant (up to 1m for 30 mins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-removable Li-Ion 225 mAh battery,,,,,,No,,,,Up to 120 h (mixed usage)
alcatel,Flash 2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, September","Available. Released 2015, September",145.8 x 70.4 x 9 mm (5.74 x 2.77 x 0.35 in),140 g (4.94 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,,,"Volcanic Grey, Mica White",HSDPA 850 / 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,"16 GB, 2 GB RAM","13 MP, PDAF, f/2.0",1080p@30fps,About 230 EUR,"Dual-LED dual-tone flash, HDR, panorama",,"LTE band 1(2100), 3(1800), 7(2600), 40(2300)",,,,,,LED flash,,,,7049D,,,,,,,5 MP,,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Ion 3000 mAh battery,,Up to 30 h,,,,,,,Up to 25 h,Up to 600 h
alcatel,10.16G,GSM,GSM 850 / 900 / 1800 / 1900,Yes,No,2015. Released 2015,Discontinued,108.5 x 45 x 12.6 mm (4.27 x 1.77 x 0.50 in),63 g (2.22 oz),Mini-SIM,TFT,"1.8 inches, 10.2 cm (~20.9% screen-to-body ratio)",128 x 160 pixels,,No,Yes,Yes,Yes,,,No,No,No,FM radio,No,V1,SMS,,,,No,No,Audio player  Calculator  Voice memo  Converter,Black,,,,,,,4 MB,,,About 20 EUR,,Flashlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Removable Li-Ion 400 mAh battery,,,,,,No,,,Up to 3 h,Up to 160 h
alcatel,2007,GSM,GSM 900 / 1800 - SIM 1 & SIM 2 (dual-SIM model only),Yes,No,2015,Available. Released 2015,119 x 50 x 9.8 mm (4.69 x 1.97 x 0.39 in),72 g (2.54 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm (~30.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,No,Yes,Yes,Yes,,No,No,3.0,No,"FM radio, RDS",microUSB 1.1,V1,SMS,,,,No,No,MP3/MP4/H.263 player  Photo viewer  Organizer,"Black, Red, Brown",,,,,,,16 MB RAM,3.15 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Removable Li-Ion 750 mAh battery,,,,,No,,,,,
alcatel,Idol 3C,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, September","Available. Released 2015, Q4",152.7 x 75.1 x 7.9 mm (6.01 x 2.96 x 0.31 in),-,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,"Yes, with stereo speakers",,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS","FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"Black, Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 5.0 (Lollipop),Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,"16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,,"LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",,,,,,,1080p@30fps,Yes,,,,,,,,,8 MP,,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Ion 2910 mAh battery,,,,,,,,,Up to 13 h (2G) / Up to 13 h (3G),Up to 600 h (2G) / Up to 600 h (3G)
alcatel,Pixi 3 (10),No cellular connectivity,N/A,No,No,"2015, September","Available. Released 2015, Q4",255.5 x 155 x 9.5 mm (10.06 x 6.10 x 0.37 in),-,No,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm (~74.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,"microSD, up to 64 GB (dedicated slot)",,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE",Yes,No,"microUSB 2.0, USB On-The-Go",Accelerometer,,,,,,,,"Black, White",,,Android 5.0 (Lollipop),Mediatek MT8127 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-450MP4,"16 GB, 1 GB RAM",5 MP,Yes,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,,,Non-removable Li-Ion 4060 mAh battery,,,,,,,,,,
alcatel,Pixi First,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, Q4",122.1 x 64.4 x 9.7 mm (4.81 x 2.54 x 0.38 in),-,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~57.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","2.1, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Yes,,,,,,,,"Gray, Silver, Gold, Pink",HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,Android 4.4.2 (KitKat),Spreadtrum 7731,Quad-core 1.2 GHz,,"4 GB, 512 MB RAM",5 MP,1080p@24fps,,LED flash,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,,,Removable Li-Ion 1450 mAh battery,,,,,,,,,Up to 7 h (3G),Up to 300 h (3G)
alcatel,Pop Up,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, September","Available. Released 2015, Q4",143 x 71.9 x 8.2 mm (5.63 x 2.83 x 0.32 in),-,"Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"Black, White, Red, Orange, Green",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Android 5.0 (Lollipop),Qualcomm MSM8929 Snapdragon 610 (28 nm),Octa-core 1.4 GHz,Adreno 405,"16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,,LED flash,,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",,,,,,,,,,6044D,,,,,,,5 MP,,,,,,,,,,,Removable Li-Ion 2000 mAh battery,,,,,,,,,,
alcatel,Pop Star LTE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, Q4",142.5 x 71.5 x 8.6 mm (5.61 x 2.81 x 0.34 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,,,"Black, White, Silver, Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Android 5.0 (Lollipop),Mediatek MT6735P (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,"8 GB, 1 GB RAM","8 MP, AF",Yes,,LED flash,,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",,,,,,,,,,,,,,,,,5 MP,,,,,,,,,,,Removable Li-Ion 2000 mAh battery,,,,,,,,,Up to 18 h (2G) / Up to 11 h (3G),Up to 400 h (2G) / Up to 425 h (3G)
alcatel,Pop Star,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, Q4",141 x 71.5 x 8.6 mm (5.55 x 2.81 x 0.34 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,,,"Black, White, Silver, Gold",HSDPA 900 / 2100,HSPA,Android 5.0 (Lollipop),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,,LED flash,,,,,,,,,,,,,,,,,,,5 MP,,,,,,,,,,,Removable Li-Ion 2000 mAh battery,,,,,,,,,Up to 12 h (2G) / Up to 10 h (3G),Up to 566 h (2G) / Up to 500 h (3G)
alcatel,Go Play,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, September","Available. Released 2015, December",143.3 x 73.3 x 9.2 mm (5.64 x 2.89 x 0.36 in),-,Micro-SIM,"Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~65.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Yes,,,,,,,,"Dark Grey, Dark Red, Dark Green, Orange Blue, Pink, Lime Green, Blue, Orange",HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Android 5.0 (Lollipop),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,,LED flash,IP67 dust/water resistant (up to 1m for 30 mins),"LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700)",,,,,,,,,,,,,,,,,5 MP,,,,,,,,,,,Removable Li-Ion 2500 mAh battery,,,,,,,,,Up to 8 h 30 min (3G),Up to 500 h (3G)
alcatel,Flash Plus,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, May","Available. Released 2015, May",152.3 x 76.4 x 8 mm (6.00 x 3.01 x 0.31 in),147 g (5.19 oz),Dual SIM,"Capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,Slate/Gold,HSDPA 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Android 4.4.4 (KitKat),Mediatek MT6752M,Octa-core 1.5 GHz Cortex-A53,Mali-T760MP2,"16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,About 130 EUR,"LED flash, HDR, panorama",,"LTE band 1(2100), 3(1800), 38(2600), 39(1900), 40(2300), 41(2500)",,,,,,,,,,,,,,,,,"8 MP, AF",,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Ion 3500 mAh battery,,Up to 28 h,,,,,,,Up to 30 h (2G) / Up to 10 h (3G),Up to 490 h (2G) / Up to 490 h (3G)
alcatel,Pop Astro,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, April","Available. Released 2015, April",133.6 x 65.3 x 9.9 mm (5.26 x 2.57 x 0.39 in),144.9 g (5.11 oz),Micro-SIM,"TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~64.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,White,HSDPA 850 / 1700(AWS) / 1900,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 4.4.2 (KitKat),Mediatek MT6732 (28 nm),Quad-core 1.5 GHz Cortex-A53,Mali-T760MP2,"4 GB, 1 GB RAM",5 MP,1080p@30fps,About 130 EUR,LED flash,,"LTE band 2(1900), 4(1700/2100), 12(700)",,,,,,,,,,,,,,,,,VGA,,,,,,,,,,,Removable Li-Ion 2000 mAh battery,,,,,,,,,Up to 11 h (3G),Up to 288 h (3G)
alcatel,Flash,GSM / HSPA,GSM 900 / 1800 / 1900,Yes,Yes,"2014, September","Available. Released 2014, September",152.1 x 76.2 x 8.1 mm (5.99 x 3.00 x 0.32 in),-,Micro-SIM,"Capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,Slate/white,HSDPA 900 / 2100,HSPA,Android 4.4 (KitKat),Mediatek MT6592M (28 nm),Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,"8 GB, 1 GB RAM","13 MP, AF",1080p@30fps,,"LED flash, HDR, panorama",,,,,,,,,,,,,,,,,,,5 MP,,,,,Active noise cancellation with dedicated mic,,,,,,Removable Li-Ion 3200 mAh battery,,,,,,,,,,
alcatel,Idol 3 (5.5),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, March","Available. Released 2015, June",152.7 x 75.1 x 7.4 mm (6.01 x 2.96 x 0.29 in),141 g (4.97 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 256 GB (dedicated slot) - single-SIM model",,,"Yes, with stereo speakers",,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP","Yes, with A-GPS","FM radio, RDS","microUSB 2.0, USB Host","Accelerometer, proximity, compass",,,,,,,,"Black, Sliver, Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,"16 GB, 2 GB RAM/ 32 GB, 2 GB RAM (Dual SIM model)","13 MP, f/2.0, 1/3"", 1.12��m, AF",1080p@30fps,About 250 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",,,,,,,1080p@30fps,Yes,,,,,,,,,8 MP,,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Ion 2910 mAh battery,,,,,,,,"LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700) - USA",Up to 13 h (2G) / Up to 13 h (3G),
alcatel,Idol 3 (4.7),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, March","Available. Released 2015, June",134.6 x 65.9 x 7.6 mm (5.30 x 2.59 x 0.30 in),110 g (3.88 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,"microSD, up to 256 GB (dedicated slot) - single-SIM model",,,"Yes, with stereo speakers",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS","FM radio, RDS","microUSB 2.0, USB Host","Accelerometer, proximity, compass",,,,,,,,"Black, Sliver, Gold",HSDPA 850 / 900 / 1900 / 2100 - EMEA,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"8 GB, 1.5 GB RAM/ 16 GB, 1.5 GB RAM (Dual SIM model)","13 MP, f/2.0, 1/3"", 1.12��m, AF",1080p@30fps,About 200 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - EMEA",,,,,,,1080p@30fps,Yes,,6039Y,,,,,,,5 MP,,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Ion 2000 mAh battery,,,,,,,,"LTE band 1(2100), 2(1900), 4(1700/2100), 7(2600), 28(700)",,
alcatel,Orange Klif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional),Yes,Yes,"2015, March","Available. Released 2015, May",112.2 x 62 x 11.9 mm (4.42 x 2.44 x 0.47 in),-,Dual SIM,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm (~52.4% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,"Yes, with A-GPS","FM radio, RDS",microUSB 2.0,Accelerometer,,,,,,,MP3/AAC+/WAV player  MP4/H.264 player  Photo viewer,Black,HSDPA,HSPA 21.1/5.76 Mbps,Firefox 2.0,,Dual-core 1.0 GHz,,"512 MB, 256 MB RAM",2 MP,Yes,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Removable Li-Ion 1300 mAh battery,,,,,No,,,,Up to 7 h (2G) / Up to 6 h 10 min (3G),Up to 380 h (2G) / Up to 286 h (3G)
alcatel,Pixi 3 (5.5) LTE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, October",-,-,Micro-SIM,"TFT capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"Volcano Black, White, Amber Orange, Tango Red, Neon Pink, Laser Yellow, Vivid Green, Sharp Blue, Metallic Silver",HSDPA 850 / 900 / 1900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 5.0 (Lollipop),,Quad-core,,"8 GB, 1 GB RAM","5 MP or 8 MP, AF",Yes,About 120 EUR,LED flash,,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - EMEA",,,,,,,,,,,,,,,,,2 MP / 5 MP,,,,,,,,,,,Non-removable Li-Ion 2800 mAh battery,,,,,,,,"LTE band 1(2100), 2(1900), 4(1700/2100), 7(2600), 28(700) - LATAM",,
alcatel,Pixi 3 (5.5),GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, October",-,-,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","540 x 960 pixels, 16:9 ratio (~200 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS","FM radio, RDS",microUSB 2.0,Accelerometer,,,,,,,,"Volcano Black, White, Amber Orange, Tango Red, Neon Pink, Laser Yellow, Vivid Green, Sharp Blue, Metallic Silver",HSDPA 850 / 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,Android 5.0 (Lollipop),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"8 GB, 1 GB RAM","8 MP, AF",Yes,,LED flash,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,,,Non-removable Li-Ion 2910 mAh battery,,,,,,,,HSDPA 900 / 2100,,
alcatel,Pixi 3 (8) 3G,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2014, August",209 x 124 x 9.2 mm (8.23 x 4.88 x 0.36 in),335 g (11.82 oz),Micro-SIM,TFT capacitive touchscreen,"8.0 inches, 185.6 cm (~71.6% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",No,"microUSB 2.0, USB Host",Accelerometer,,,,,,,,"Yellow, Blue, Red, Black, White",HSDPA,HSPA,Android 4.4.2 (KitKat),Mediatek MT8312 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,"4 GB, 1 GB RAM",2 MP,Yes,About 100 EUR,,,,,,,,,,,,,,,,,,,,VGA,Yes,,,,,,,,,,Non-removable Li-Ion 3240 mAh battery,,,,,,,,,,
alcatel,Pixi 3 (7) LTE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, August",191 x 109 x 9.2 mm (7.52 x 4.29 x 0.36 in),260 g (9.17 oz),Micro-SIM,TFT capacitive touchscreen,"7.0 inches, 137.9 cm (~66.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE","Yes, with A-GPS",No,"microUSB 2.0, USB Host",Accelerometer,,,,,,,,"Yellow, Blue, Red, Pink",HSDPA,"HSPA, LTE",Android 5.0 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,"4 GB, 1 GB RAM",2 MP,Yes,About 130 EUR,,,LTE,,,,,,,,,,,,,,,,,VGA,,,,,,,,,,,Non-removable Li-Ion 2820 mAh battery,,,,,,,,,,
alcatel,Pixi 3 (7) 3G,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, May",189 x 111 x 9.1 mm (7.44 x 4.37 x 0.36 in),260 g (9.17 oz),Micro-SIM,TFT capacitive touchscreen,"7.0 inches, 137.9 cm (~65.7% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS",No,"microUSB 2.0, USB Host",Accelerometer,,,,,,,,"Yellow, Blue, Red, Pink",HSDPA,HSPA,Android 4.4.2 (KitKat),Mediatek MT8312 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,"4 GB, 512 MB RAM",2 MP,Yes,About 100 EUR,,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,,,Non-removable Li-Ion 2820 mAh battery,,,,,,,,,,
