alcatel,One Touch Evo 7 HD,No cellular connectivity,N/A,No,No,"2013, January. Released 2013, January",Discontinued,197 x 120 x 10 mm (7.76 x 4.72 x 0.39 in),350 g (12.35 oz),Single SIM or Dual SIM (dual stand-by),IPS LCD capacitive touchscreen,"7.0 inches, 142.1 cm (~60.1% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,microSDHC (dedicated slot),,,Yes,,No,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,No,microUSB 2.0,V1,,,,,,,,"Black, White",,,Android 4.1 (Jelly Bean),,Dual-core 1.6 GHz,,4GB 1GB RAM,3 MP,Yes,About 140 EUR,,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,,,Non-removable Li-Ion battery,,,,,,,,,Up to 6 h,Up to 200 h
alcatel,One Touch Tab 8 HD,No cellular connectivity,N/A,No,No,"2013, January. Released 2013, June",Discontinued,202 x 154 x 9.5 mm (7.95 x 6.06 x 0.37 in),400 g (14.11 oz),,IPS LCD capacitive touchscreen,"8.0 inches, 198.2 cm (~63.7% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~160 ppi density)",,microSDHC (dedicated slot),,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP",Yes,No,microUSB 2.0,V1,,,,,,,,Black,,,Android 4.1 (Jelly Bean),,Dual-core 1.6 GHz,,8GB 1GB RAM,2 MP,Yes,About 140 EUR,,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,,,Non-removable Li-Ion battery,,,,,,,,,Up to 4 h,Up to 125 h
alcatel,One Touch Tab 7,No cellular connectivity,N/A,No,No,"2013, January. Released 2013, May",Discontinued,192.8 x 121 x 9.5 mm (7.59 x 4.76 x 0.37 in),350 g (12.35 oz),No,TFT capacitive touchscreen,"7.0 inches, 137.9 cm (~59.1% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,microSDHC (dedicated slot),,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP",No,No,microUSB 2.0,V1,,,,,,,,Black,,,Android 4.1 (Jelly Bean),Rockchip RK2928,1.0 GHz Cortex-A9,,4GB 1GB RAM,VGA,Yes,About 100 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-removable Li-ion 3240 mAh battery,,,,,No,,,,Up to 4 h,Up to 125 h
alcatel,One Touch Tab 7 HD,No cellular connectivity,N/A,No,No,"2013, January. Released 2013, May",Discontinued,191 x 125 x 9.1 mm (7.52 x 4.92 x 0.36 in),350 g (12.35 oz),No,IPS LCD capacitive touchscreen,"7.0 inches, 142.1 cm (~59.5% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,microSDHC (dedicated slot),,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP",Yes,No,microUSB 2.0,V1,,,,,,,,Black,,,Android 4.1 (Jelly Bean),Rockchip 3066,Dual-core 1.6 GHz Cortex-A9,,8GB 1GB RAM,2 MP,Yes,About 110 EUR,,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,,,Non-removable Li-Ion 3300 mAh battery,,,,,,,,,Up to 4 h,Up to 125 h
alcatel,3L (2020),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, January","Available. Released 2020, May",158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in),165 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm (~81.6% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",,microSDXC (uses shared SIM slot),,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,,,"Chameleon Blue, Dark Chrome, Agate Green",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 10,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,64GB 4GB RAM,,1080p@30fps,������149.99 / �����99.99,"LED flash, HDR, panorama",,"1, 3, 5, 7, 8, 20, 28, 38, 40","Glass front, plastic back, plastic frame",,eMMC 5.1,,,HDR,1080p@30fps,,Charging 10W,"5029Y, 5029",,,,,,,"8 MP, f/2.0, (wide), 1/4"", 1.12��m",,,,"48 MP, f/1.8, (wide), 1/2.25"", 0.8��m, PDAF  5 MP, f/2.4, (ultrawide/depth sensor), 1/5.0"", 1.12��m  2 MP, f/2.4, (macro)",,,,,,,Non-removable Li-Po 4000 mAh battery,,,,,,,,,,
alcatel,1S (2020),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, January","Available. Released 2020, May",158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in),165 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm (~81.6% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",,microSDXC (uses shared SIM slot),,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,,,"Agate Green, Power Grey",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 10,Mediatek MT6762D Helio P22 (12 nm),Octa-core 1.8 GHz Cortex-A53,PowerVR GE8320,32GB 3GB RAM,,1080p@30fps,$���109.00 / ������94.60 / �����99.00,"LED flash, HDR, panorama",,"1, 3, 5, 7, 8, 20, 28, 38, 40","Glass front, plastic back, plastic frame",,eMMC 5.1,,,,1080p@30fps,,,"5028Y, 5028D",,,,,,,"5 MP, f/2.2, (wide), 1/5"", 1.12��m",,,,"13 MP, f/1.8, (wide), 1/3.1"", 1.12��m, AF  5 MP, f/2.2, (ultrawide/depth sensor), 1/5.0"", 1.12��m  2 MP, f/2.4, (macro)",,,,,,,Non-removable Li-Po 4000 mAh battery,,,,,,,,,,
alcatel,1V (2020),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, January","Available. Released 2020, May",158.7 x 74.8 x 8.9 mm (6.25 x 2.94 x 0.35 in),160 g (5.64 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm (~81.3% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",,microSDXC (uses shared SIM slot),,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,,,,,,"Prime Black, Pine Green, Metallic Black, Agate Green",HSDPA 850 / 900 / 1900 / 2100 - 5007U,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 10,Mediatek MT6762D Helio P22 (12 nm),Octa-core 1.8 GHz Cortex-A53,PowerVR GE8320,32GB 2GB RAM,,1080p@30fps,$���119.90,"LED flash, HDR, panorama",,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5007U","Glass front, plastic back, plastic frame",,eMMC 5.1,"13 MP, f/1.8, (wide), 1/3.1"", 1.12��m, AF  5 MP, f/2.4, (depth)",,,1080p@30fps,,,"5007U, 5007G, 5007A",,,,,,,"5 MP, f/2.2, (wide), 1/5"", 1.12��m",,,,,,,,,,,Non-removable Li-Po 4000 mAh battery,,,,,,,,"2, 3, 4, 5, 7, 8, 13, 17, 28, 66 - 5007G, 5007A",,
alcatel,1B (2020),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, January","Available. Released 2020, May",146.1 x 71.6 x 9.9 mm (5.75 x 2.82 x 0.39 in),168 g (5.93 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm (~74.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",,microSDHC (dedicated slot),,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,,,"Prime Black, Pine Green",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 10 (Go edition),Qualcomm QM215 (28 nm),Quad-core 1.3 GHz Cortex-A53,Adreno 308,16GB 2GB RAM,"13 MP, f/2.0, (wide), 1/4.0"", 1.12��m, AF",1080p@30fps,$���84.99 / ������77.83 / �����69.98,"LED flash, HDR",,"1, 3, 5, 7, 8, 20, 28","Glass front, plastic back, plastic frame",,,,,,1080p@30fps,,,"5002A, 5002D, 5002F, 5002I, 5002M, 5002X",,,,,,,"5 MP, f/2.2, (wide), 1/5"", 1.12��m",,,,,,,,,,,Li-Ion 3000 mAh battery,,,,,,,,,,
alcatel,3v (2019),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2019, Q2","Available. Released 2019, Q4",174.5 x 83.3 x 8.4 mm (6.87 x 3.28 x 0.33 in),197.9 g (6.98 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","6.7 inches, 115.8 cm (~79.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~240 ppi density)",,microSDXC (dedicated slot),,,"Yes, with stereo speakers",,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,,,Elegant Black,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,32GB 3GB RAM,,1080p@30fps,About 170 EUR,"LED flash, HDR, panorama",,"1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 25, 26, 41, 66, 71","Glass front (DragonTrail Pro glass), plastic back, plastic frame",DragonTrail Pro,eMMC 5.1,"16 MP, PDAF  5 MP, f/2.4, (depth)",,,720p@30fps,,Fast charging  Pump Express+,5032W,,,,,,,8 MP,,,,,,,,,,,Non-removable Li-Po 4000 mAh battery,,,,,,,,,,
alcatel,3x (2019),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2019, September","Available. Released 2019, Q4",164.9 x 75.8 x 8.4 mm (6.49 x 2.98 x 0.33 in),178 g (6.28 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.52 inches, 102.6 cm (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,microSDXC (dedicated slot),,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity",,,,,,,,"Jewelry Black, Jewelry Green, Jewelry Rose",HSDPA 850 / 900 / 1900 / 2100 - 5048Y,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Android 9.0 (Pie),Mediatek MT6763V Helio P23 (16 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,"64GB 4GB RAM, 128GB 6GB RAM",,1080p@30fps,About 150 EUR,"Dual-LED dual-tone flash, HDR, panorama",,"1, 3, 5, 7, 8, 20, 28, 38, 40 - 5048Y","Glass front, plastic back, plastic frame",,eMMC 5.1,,,,1080p@30fps,Yes,Charging 10W,"5048Y, 5048A, 5048Y_EEA, 5048I",,,,,,,"8 MP, f/2.0, 25mm (wide), 1/4"", 1.12��m",,,,"16 MP, f/1.8, 27mm (wide), 1/2.8"", 1.12��m, PDAF  8 MP, f/2.2, 17mm (ultrawide), 1/4.0"", 1.12��m  5 MP, f/2.4, (depth)",,,,,,,Non-removable Li-Po 4000 mAh battery,,,,,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 66 - 5048A",,
